"id","name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365"
"1643831","Cozy and Private Garage Apartment","8724842","Jennifer",,"78756","30.3266948954948","-97.7349439648132","Entire home/apt","63","3","0",,,"1","22"
"8612362","Walkable. Central. Quiet. Home.","2488342","Dana",,"78756","30.3177571686459","-97.7413518632117","Entire home/apt","75","2","1","2015-10-19","1","1","75"
"5040775","Quiet studio apt in central Austin","5409929","Mark",,"78756","30.3280102599529","-97.7372722070675","Entire home/apt","60","2","14","2015-10-08","1.5","1","1"
"5237709","Cozy 1940s cottage, Central Austin","8925891","Apryl",,"78756","30.3301264142621","-97.7348355487526","Entire home/apt","95","3","4","2015-10-13","0.51","1","241"
"5205299","Affordable room in Brentwood!","23185858","Liz",,"78756","30.3232186621953","-97.7352119558459","Private room","60","1","16","2015-10-25","2.05","1","343"
"2036294","Updated Mid-Century Home 2Bd-1.5Ba","10381875","Patricia",,"78756","30.3228918201483","-97.7306959182659","Entire home/apt","185","3","3","2014-12-28","0.14","1","247"
"7728618","Stay at my apartment while Im away","33666377","Caleb",,"78756","30.3190820866797","-97.7308567577359","Entire home/apt","90","1","0",,,"3","68"
"5673558","Private BDRM close to downtown/UT","29237885","Scott",,"78756","30.3193333836684","-97.7413895470781","Private room","49","1","26","2015-10-24","4.62","2","273"
"4208511","Charming Historic SXSW Ideal","21536850","Judi",,"78756","30.3066179734823","-97.7435899906064","Entire home/apt","600","2","0",,,"2","17"
"3798024","Lovely Garage Apt in Central Austin","2194671","Louie",,"78756","30.3150400231344","-97.7448839934265","Entire home/apt","100","2","3","2015-09-01","0.36","2","323"
"1556027","2BR Remodeled House, Central Austin","4641823","Erica",,"78756","30.3332433585766","-97.7406983017372","Entire home/apt","172","2","2","2015-03-20","0.12","7","310"
"5340370","1/1 + pets + laundry, sleeps 4-6!","27674647","Tera",,"78756","30.3296573165121","-97.7358225062702","Entire home/apt","150","3","0",,,"1","241"
"8731536","ACL weekend, 1 bdrm, cottage home.","45815628","Victoria",,"78756","30.3182535192144","-97.7437665828043","Private room","200","1","0",,,"1","7"
"8888471","Rosedale Bungalow Fully Furnished","12399486","Julie",,"78756","30.3111996674584","-97.7427469435569","Entire home/apt","190","7","0",,,"1","145"
"4235416","Cool apartment in Central Austin","4779911","Jeanne Claire",,"78756","30.3266088039117","-97.7316738549373","Entire home/apt","85","1","23","2015-10-22","1.77","1","158"
"5415298","Great Hyde Park Loc during SXSW!","28073297","Ryan",,"78756","30.3115615547091","-97.7423057790801","Entire home/apt","175","1","2","2015-03-23","0.26","1","233"
"867806","Beautiful Allandale Flat","245617","Peter",,"78756","30.3319325807579","-97.7426862203831","Entire home/apt","89","2","2","2015-09-08","0.59","1","263"
"3810677","2BR Authentic Central Austin!","4641823","Erica",,"78756","30.3143856192099","-97.7383599198697","Entire home/apt","170","2","2","2014-10-21","0.14","7","278"
"5660770","Sunny Brentwood Home","16750616","Rosalind",,"78756","30.3245122075174","-97.7331165551651","Entire home/apt","370","2","0",,,"1","211"
